,agent1
ep1052,16.0
ep1053,15.0
ep1054,16.0
ep1055,16.0
ep1056,16.0
ep1057,16.0
ep1058,13.0
ep1059,16.0
ep1060,15.0
ep1061,14.0
ep1062,13.0
ep1063,16.0
ep1064,16.0
ep1065,15.0
ep1066,14.0
ep1067,15.0
ep1068,10.0
ep1069,16.0
ep1070,14.0
ep1071,15.0
ep1072,16.0
ep1073,16.0
ep1074,15.0
ep1075,16.0
ep1076,16.0
ep1077,16.0
ep1078,16.0
ep1079,16.0
ep1080,16.0
ep1081,16.0
ep1082,16.0
ep1083,16.0
ep1084,16.0
ep1085,16.0
ep1086,16.0
ep1087,13.0
ep1088,16.0
ep1089,16.0
ep1090,16.0
ep1091,16.0
ep1092,15.0
ep1093,16.0
ep1094,7.0
ep1095,16.0
ep1096,16.0
ep1097,15.0
ep1098,12.0
ep1099,16.0
ep1100,16.0
ep1101,16.0
ep1102,16.0
ep1103,13.0
ep1104,16.0
ep1105,16.0
ep1106,16.0
ep1107,15.0
ep1108,16.0
ep1109,16.0
ep1110,14.0
ep1111,16.0
ep1112,16.0
ep1113,16.0
ep1114,15.0
ep1115,13.0
ep1116,14.0
ep1117,16.0
ep1118,16.0
ep1119,13.0
ep1120,13.0
ep1121,16.0
ep1122,13.0
ep1123,9.0
ep1124,15.0
ep1125,13.0
ep1126,16.0
ep1127,16.0
ep1128,9.0
ep1129,16.0
ep1130,16.0
ep1131,15.0
ep1132,16.0
ep1133,10.0
ep1134,16.0
ep1135,16.0
ep1136,16.0
ep1137,16.0
ep1138,16.0
ep1139,14.0
ep1140,11.0
ep1141,16.0
ep1142,16.0
ep1143,16.0
ep1144,11.0
ep1145,13.0
ep1146,13.0
ep1147,16.0
ep1148,10.0
ep1149,16.0
ep1150,15.0
ep1151,16.0
ep1152,16.0
ep1153,9.0
ep1154,12.0
ep1155,9.0
ep1156,16.0
ep1157,16.0
ep1158,16.0
ep1159,16.0
ep1160,16.0
ep1161,16.0
ep1162,15.0
ep1163,16.0
ep1164,11.0
ep1165,11.0
ep1166,16.0
ep1167,16.0
ep1168,14.0
ep1169,16.0
ep1170,16.0
ep1171,16.0
ep1172,11.0
ep1173,16.0
ep1174,16.0
ep1175,13.0
ep1176,16.0
ep1177,16.0
ep1178,16.0
ep1179,11.0
ep1180,14.0
ep1181,16.0
ep1182,16.0
ep1183,9.0
ep1184,12.0
ep1185,16.0
ep1186,13.0
ep1187,11.0
ep1188,16.0
ep1189,16.0
ep1190,16.0
ep1191,16.0
ep1192,14.0
ep1193,16.0
ep1194,16.0
ep1195,15.0
ep1196,16.0
ep1197,13.0
ep1198,13.0
ep1199,16.0
ep1200,8.0
ep1201,16.0
ep1202,7.0
ep1203,15.0
ep1204,16.0
ep1205,16.0
ep1206,16.0
ep1207,7.0
ep1208,12.0
ep1209,16.0
ep1210,16.0
ep1211,12.0
ep1212,16.0
ep1213,13.0
ep1214,13.0
ep1215,12.0
ep1216,16.0
ep1217,16.0
ep1218,16.0
ep1219,9.0
ep1220,11.0
ep1221,16.0
ep1222,11.0
ep1223,14.0
ep1224,14.0
ep1225,16.0
ep1226,16.0
ep1227,16.0
ep1228,15.0
ep1229,16.0
ep1230,13.0
ep1231,16.0
ep1232,16.0
ep1233,13.0
ep1234,8.0
ep1235,15.0
ep1236,16.0
ep1237,14.0
ep1238,14.0
ep1239,16.0
ep1240,15.0
ep1241,16.0
ep1242,15.0
ep1243,14.0
ep1244,16.0
ep1245,16.0
ep1246,16.0
ep1247,11.0
ep1248,11.0
ep1249,16.0
ep1250,15.0
ep1251,16.0
ep1252,16.0
ep1253,16.0
ep1254,14.0
ep1255,16.0
ep1256,16.0
ep1257,16.0
ep1258,10.0
ep1259,15.0
ep1260,16.0
ep1261,15.0
ep1262,16.0
ep1263,16.0
ep1264,16.0
ep1265,16.0
ep1266,16.0
ep1267,16.0
ep1268,16.0
ep1269,9.0
ep1270,16.0
ep1271,16.0
ep1272,13.0
ep1273,16.0
ep1274,11.0
ep1275,13.0
ep1276,16.0
ep1277,16.0
ep1278,13.0
ep1279,16.0
ep1280,16.0
ep1281,14.0
ep1282,16.0
ep1283,12.0
ep1284,13.0
ep1285,13.0
ep1286,16.0
ep1287,13.0
ep1288,16.0
ep1289,11.0
ep1290,15.0
ep1291,16.0
ep1292,16.0
ep1293,11.0
ep1294,13.0
ep1295,15.0
ep1296,14.0
ep1297,16.0
ep1298,16.0
ep1299,16.0
ep1300,15.0
ep1301,16.0
ep1302,16.0
ep1303,14.0
ep1304,16.0
ep1305,16.0
ep1306,16.0
ep1307,9.0
ep1308,12.0
ep1309,12.0
ep1310,9.0
ep1311,16.0
ep1312,15.0
ep1313,16.0
ep1314,12.0
